trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-86.84066552842616,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-152.3131382059961,"{0: 11, 1: 5, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-139.50090454363206,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-69.10012499836415,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-111.55474995564556,"{0: 16, 1: 1, 2: 4, 3: 4, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-102.72479362593756,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-113.0243528049847,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-51.26475200704174,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-79.49195776856342,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-6.578803052775631,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,6,-19.543567085140882,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-88.37200059175018,"{0: 27, 1: 3, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-26.84224533905273,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,11.330771935873846,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,5,-52.34612084498654,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,19,-10.580302955863985,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,13,-39.68409424099653,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-30.166536032256687,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,17,14.095016955772682,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,16.87368439299094,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-94.00002218131954,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",25,19,12.204029451297055,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,6,-96.6418779718405,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
4,True,"{'a': 0, 'e': 0}",20,9,-4.807067980082169,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,14,22.022537512986915,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-44.83625055022573,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,3,-81.09945483873427,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 3}",1
8,True,"{'a': 0, 'e': 0}",25,13,18.31113134389801,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,15,-22.883813501445115,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,7,-19.724249444523075,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
