trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",20,13,-6.289041145326227,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-83.33328116724854,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-170.58923165698664,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9704455335485082}",25,0,-176.81925306705213,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,0,-145.52938224613047,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.951229424500714}",35,1,-152.88273941243204,"{0: 20, 1: 6, 2: 6, 3: 0, 4: 2}",1
7,False,"{'a': 0.01, 'e': 0.9417645335842487}",25,3,-54.82577208280548,"{0: 14, 1: 7, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.01, 'e': 0.9323938199059483}",30,16,-24.70972106963911,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-62.978810461036836,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-224.4234755659987,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
11,False,"{'a': 0.01, 'e': 0.9048374180359595}",25,0,-100.64683102707744,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,0,-113.80480785698747,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-65.34182872073858,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-82.00172841478354,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8693582353988059}",25,0,-73.74948469551343,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.8607079764250578}",25,0,-124.44368237788994,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,0,-91.91018454618958,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,0,-28.2103848331267,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.835270211411272}",25,0,-277.13018587526994,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 5}",0
20,False,"{'a': 0.01, 'e': 0.8269591339433623}",35,0,-177.55263088489556,"{0: 18, 1: 3, 2: 12, 3: 1, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.8187307530779818}",30,0,-102.81505504564895,"{0: 22, 1: 3, 2: 1, 3: 3, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.8105842459701871}",35,0,-22.572937539159497,"{0: 29, 1: 2, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.8025187979624785}",20,5,-60.11580531405433,"{0: 7, 1: 1, 2: 7, 3: 0, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.794533602503334}",25,0,-59.20411760533175,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.7866278610665535}",20,0,-88.52842404943007,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.7788007830714049}",30,0,-79.84774810782766,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.7710515858035663}",20,0,-52.94580321521895,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.7633794943368531}",20,0,-122.83506680342562,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.7557837414557255}",20,1,-0.8224214414667197,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.01, 'e': 0.7482635675785653}",25,0,-101.8049189176969,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.7408182206817179}",20,10,-46.53465565556897,"{0: 5, 1: 1, 2: 3, 3: 1, 4: 0}",1
32,False,"{'a': 0.01, 'e': 0.7334469562242892}",25,0,-23.307631828038353,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.7261490370736909}",25,1,-116.00265712352665,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 2}",1
