trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-154.57186316875936,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.52376314044689,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.87741314313568,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-338.82469973881007,"{0: 15, 1: 1, 2: 13, 3: 1, 4: 5}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.17041724053595,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,8,-93.91439033331149,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.59028476149656,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.06729871493391,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.81883644663478,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.4947898603197,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.55864856624547,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-105.73404442434949,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.61088240926,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.22151162030745,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-204.83713041449175,"{0: 17, 1: 0, 2: 8, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.52483468675602,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.28457176032571,"{0: 16, 1: 6, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.99878487630454,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.55232992248253,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.60732788754801,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-162.931274410922,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-51.32103030993645,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-222.76583999046522,"{0: 15, 1: 5, 2: 5, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-132.43649872179626,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.0284570294865,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-128.98576166527286,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,6,-99.70904008283615,"{0: 7, 1: 1, 2: 4, 3: 1, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,7,-116.92389987870295,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 2}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,11,-87.27215172955799,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.21468829912047,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
